Search_Keyword_for_job,URL,Job_Posted_Date,Position,Company,Job_Location,Job_Location_Type,Salary_Range,Job_Type,Job_Description
Data Engineer,https://indeed.com/viewjob?jk=12f3478896a00f1e,7/25/2023,Software Engineer | Data Platform,Ramp Financial,New York  NY,,$153 000 - $180 000 a year,Full-time, 
Data Engineer,https://indeed.com/viewjob?jk=bdca55fc14bdb641,7/25/2023,Data Engineer II,Freeport McMoRan,333 N Central Ave  Phoenix  AZ 85004,Remote,$153 000 - $180 000 a year,Full-time, is a leading international mining company with headquarters in Phoenix  Arizona. We operate large  long-lived  geographically diverse assets with significant proven and probable reserves of copper  gold  and molybdenum. The company has a dynamic portfolio of operating  expansion and growth projects in the copper industry. Freeport-McMoRan is one of the world’s largest publicly traded copper producers  the world’s largest producer of molybdenum and a significant gold producer. We have a long and successful history of conducting our business in a safe  highly efficient and socially-responsible manner. We have the assets  the talent  the drive and the financial strength to provide attractive and rewarding careers of our employees. We encourage you to take the time to explore the opportunity to advance your career at Freeport-McMoRan. This position has the possibility to work remotely up to 100% of the time. The position will require occasional travel to the Phoenix corporate offices and/or site locations . This position may be performed anywhere in the U.S. except California  Connecticut  New Hampshire  Massachusetts  Michigan  Illinois  Kentucky and New York. Additional states may be excluded from remote work based on business factors. Should the positions shift to in-office work in the future  the company will offer relocation benefits at that time should the position meet the established eligibility for these benefits. At Freeport  we are committed to providing an employment package that recognizes excellence  rewards value and impact  and encourages safe production. Benefits and compensation are foundational elements of this package  along with career development opportunities  job progression and a culture supported by our core values  among others. Learn more at: FCX Jobs - Working Here We provide an industry-leading benefits package with some of the lowest cost to employees – offering health  wellness  life insurance  paid time off  retirement savings and more. These benefits are available to you and your dependents starting day one. Our comprehensive benefits program is important to how we support the health and wellness of employees and their families. For further benefits information please click here: Benefits Details The estimated annual pay range for this role is currently . This range reflects base salary only and does not include bonus payments  benefits or retirement contributions. Actual base pay is determined by experience  qualifications  skills and other job-related factors. This role is eligible for additional incentive compensation considerations based on company and individual performance. More details will be shared during the hiring process. Candidates will be required to participate in a post-offer  pre-employment medical examination for the following positions which may have essential job duties that can impact both their own safety and the safety of others: 
Data Engineer,https://indeed.com/viewjob?jk=01cdfe6e6303dcd7,7/25/2023,Backend Software Engineer  TikTok MultiMedia Data Platform,TikTok,Seattle  WA,,$153 000 - $180 000 a year,Full-time,Responsibilities TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles  New York  London  Paris  Berlin  Dubai  Singapore  Jakarta  Seoul and Tokyo.  Why Join Us At TikTok  our people are humble  intelligent  compassionate and creative. We create to inspire - for you  for us  and for more than 1 billion users on our platform. We lead with curiosity and aim for the highest  never shying away from taking calculated risks and embracing ambiguity as it comes. Here  the opportunities are limitless for those who dare to pursue bold ideas that exist just beyond the boundary of possibility. Join us and make impact happen with a career at TikTok.  About the Team Our team's mission is to scalable  reliable  complicant and valuable data products to power the next generation player development  multimedia domain experience optimization and cost saving. We are looking for seasoned backend software engineers that have strong problem solving skills and coding skills to build and manage scalable  reliable systems. You will have the opportunity to partner closely with a globalized engineering and product teams in a high-impact and fast-paced environment.    Qualifications  TikTok is committed to creating an inclusive space where employees are valued for their skills  experiences  and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok  our mission is to inspire creativity and bring joy. To achieve that goal  we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.  TikTok is committed to providing reasonable accommodations in our recruitment processes for candidates with disabilities  pregnancy  sincerely held religious beliefs or other reasons protected by applicable laws. If you need assistance or a reasonable accommodation  please reach out to us at gprd.accommodations@tiktok.com. Job Information The base salary range for this position in the selected city is $129200 - $194750 annually.  ​  Compensation may vary outside of this range depending on a number of factors  including a candidate’s qualifications  skills  competencies and experience  and location. Base pay is one part of the Total Package that is provided to compensate and recognize employees for their work  and this role may be eligible for additional discretionary bonuses/incentives  and restricted stock units.  ​  At ByteDance/TikTok our benefits are designed to convey company culture and values  to create an efficient and inspiring work environment  and to support ByteDancers to give their best in both work and life. We offer the following benefits to eligible employees:  ​  We cover 100% premium coverage for employee medical insurance  approximately 75% premium coverage for dependents and offer a Health Savings Account(HSA) with a company match. As well as Dental  Vision  Short/Long term Disability  Basic Life  Voluntary Life and AD&D insurance plans. In addition to Flexible Spending Account(FSA) Options like Health Care  Limited Purpose and Dependent Care.  ​   10 paid holidays per year plus 17 days of Paid Personal Time Off(PPTO) (prorated upon hire and increased by tenure) and 10 paid sick days per year as well as 12 weeks of paid Parental leave and 8 weeks of paid Supplemental Disability.  ​  We also provide generous benefits like mental and emotional health benefits through our EAP and Lyra. A 401K company match  gym and cellphone service reimbursements. The Company reserves the right to modify or change these benefits programs at any time  with or without notice.
Data Engineer,https://indeed.com/viewjob?jk=f79a32f89bdb69a2,7/25/2023,Data Center Engineer,Flagstar Bank,Troy  MI,,Estimated $77.4K - $98K a year,Full-time,  Position Title    Location    Job Summary    Job Responsibilities:    Job Requirements:    For Internal use only: Job Band E 
Data Engineer,https://indeed.com/viewjob?jk=320efe4a4417fa0c,7/25/2023,Data Engineer,Tradeweb Markets LLC,Jersey City  NJ 07097,Remote,$100 000 - $250 000 a year,Full-time,"The Billing Technology team is responsible for the overall ownership of our internal billing and invoicing systems including the development  quality assurance and operations of the platform. As a member of this team  you will be able to take in a set of complex requirements and use your own engineering and architectural skills to analyze them and distill a clear plan. You will develop a strong partnership with our business counterparts  proactively identifying problems they face and apply creative technological solutions to solve them. Trust is fundamental to our trading platforms and our business overall and an invoice is a critical touchpoint between us and our customers. Therefore  the accuracy of the calculations and system outputs are paramount. This means that quality and stability will be fundamental to all changes made within the platform and that unit testing will play a critical role in the SDLC.Tradeweb Technology jobs are fully remote. The Tradeweb Technology hub is located in our Jersey City office which can be used for team meetings and collaboration efforts. There may be days where travel to the Jersey City office is recommended for organizational off-sites.Tradeweb is committed to providing valuable and competitive benefits. In addition to working in our culture of innovation and collaboration  we offer:Tradeweb Markets is a world leader in the evolution of electronic trading. A fintech company serving approximately 2 500 clients – including the world’s largest banks  asset managers  hedge funds  insurance companies  wealth managers and retail clients - in more than 65 countries across the globe. Since our first trade in 1998  we have helped transform and electronify the fixed income markets. Tradeweb is a culture built on innovation  creativity and collaboration. Through a combination of very talented and driven people  innovative products and solutions  cutting-edge technology  market data  and a vast network of clients  we continue to work together to improve the way financial markets trade.Mission: Move first and never stop. Collaborate with clients to create and build solutions that drive efficiency  connectivity  and transparency in electronic trading.Tradeweb Markets LLC (""Tradeweb"") is proud to be an EEO Minorities/Females/Protected Veterans/Disabled/Affirmative Action Employer. https://www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf"
Data Engineer,https://indeed.com/viewjob?jk=a1c9e29e0e55d7ab,7/25/2023,Sr. Data Engineer (with ETL testing experience),Intellibee,Austin  TX,,$100 000 - $250 000 a year,Full-time,   
Data Engineer,https://indeed.com/viewjob?jk=da12122b10567a0c,7/25/2023,AWS Data Engineer,Arthur Grand Technologies Inc,161 S Ohio Ave  Columbus  OH 43205,,Estimated $103K - $131K a year,Contract,  
Data Engineer,https://indeed.com/viewjob?jk=703785b97030463a,7/25/2023,Data Engineer,Comcast,Philadelphia  PA 19103,,Estimated $103K - $131K a year,Contract, Responsible for designing  building and overseeing the deployment and operation of technology architecture  solutions and software to capture  manage  store and utilize structured and unstructured data from internal and external sources. Establishes and builds processes and structures based on business and technical requirements to channel data from multiple inputs  route appropriately and store using any combination of distributed (cloud) structures  local databases  and other applicable storage forms as required. Develops technical tools and programming that leverage artificial intelligence  machine learning and big-data techniques to cleanse  organize and transform data and to maintain  defend and update data structures and integrity on an automated basis. Creates and establishes design standards and assurance processes for software  systems and applications development to ensure compatibility and operability of data connections  flows and storage requirements. Reviews internal and external business and product requirements for data operations and activity and suggests changes and upgrades to systems and storage to accommodate ongoing needs. Work with data modelers/analysts to understand the business problems they are trying to solve then create or augment data assets to feed their analysis. Has in-depth experience  knowledge and skills in own discipline. Usually determines own work priorities. Acts as resource for colleagues with less experience. Develops data structures and pipelines aligned to established standards and guidelines to organize  collect  standardize and transform data that helps generate insights and address reporting needs. Focuses on ensuring data quality during ingest  processing as well as final load to the target tables. Creates standard ingestion frameworks for structured and unstructured data as well as checking and reporting on the quality of the data being processed. Creates standard methods for end users / downstream applications to consume data including but not limited to database views  extracts and Application Programming Interfaces. Develops and maintains information systems (e.g.  data warehouses  data lakes) including data access Application Programming Interfaces. Participates in the implementation of solutions via data architecture  data engineering  or data manipulation on both on-prem platforms like Kubernetes and Teradata as well as Cloud platforms like Databricks.  Determines the appropriate storage platform across different on-prem (minIO and Teradata) and Cloud (AWS S3  Redshift) depending on the privacy  access and sensitivity requirements. Understands the data lineage from source to the final semantic layer along with the transformation rules applied to enable faster troubleshooting and impact analysis during changes.  Collaborates with technology and platform management partners to optimize data sourcing and processing rules to ensure appropriate data quality as well as process optimization. Creates and establishes design standards and assurance processes for software  systems and applications development to ensure compatibility and operability of data connections  flows and storage requirements. Reviews internal and external business and product requirements for data operations and activity and suggests changes and upgrades to systems and storage to accommodate ongoing needs. Develops strategies for data acquisition  archive recovery  and database implementation. Manages data migrations/conversions and troubleshooting data processing issues. Understands the data sensitivity  customer data privacy rules and regulations and applies them consistently in all Information Lifecycle Management activities. Identifies and reacts to system notification and log to ensure quality standards for databases and applications. Solves abstract problems beyond single development language or situation by reusing data file and flags already set.  Solves critical issues and shares knowledge such as trends  aggregate  quantity volume regarding specific data sources.     Understand our Operating Principles; make them the guidelines for how you do your job. Own the customer experience - think and act in ways that put our customers first  give them seamless digital options at every touchpoint  and make them promoters of our products and services. Know your stuff - be enthusiastic learners  users and advocates of our game-changing technology  products and services  especially our digital tools and experiences. Win as a team - make big things happen by working together and being open to new ideas. Be an active part of the Net Promoter System - a way of working that brings more employee and customer feedback into the company - by joining huddles  making call backs and helping us elevate opportunities to do better for our customers. Drive results and growth. Respect and promote inclusion & diversity. Do what's right for each other  our customers  investors and our communities.  Disclaimer:This information has been designed to indicate the general nature and level of work performed by employees in this role. It is not designed to contain or be interpreted as a comprehensive inventory of all duties  responsibilities and qualifications.  Comcast is an EOE/Veterans/Disabled/LGBT employer. Comcast is proud to be an equal opportunity workplace. We will consider all qualified applicants for employment without regard to race  color  religion  age  sex  sexual orientation  gender identity  national origin  disability  veteran status  genetic information  or any other basis protected by applicable law. Comcast will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of applicable law  including the Los Angeles Fair Chance Initiative for Hiring Ordinance and the San Francisco Fair Chance Ordinance. Bachelor's Degree While possessing the stated degree is preferred  Comcast also may consider applicants who hold some combination of coursework and experience  or who have extensive related professional experience. 5-7 Years National Pay Range: $69 431.10 USD-$162 729.15 USD Comcast intends to offer the selected candidate base pay within this range  dependent on job-related  non-discriminatory factors such as experience. Base pay is one part of the Total Rewards that Comcast provides to compensate and recognize employees for their work. Most sales positions are eligible for a Commission under the terms of an applicable plan  while most non-sales positions are eligible for a Bonus. Additionally  Comcast provides best-in-class Benefits. We believe that benefits should connect you to the support you need when it matters most  and should help you care for those who matter most. That’s why we provide an array of options  expert guidance and always-on tools  that are personalized to meet the needs of your reality – to help support you physically  financially and emotionally through the big milestones and in your everyday life. Please visit the compensation and benefits summary on our careers site for more details.
Data Engineer,https://indeed.com/viewjob?jk=eae80b27a38e6f8c,7/25/2023,Data Engineer,Ecolab,Eagan  MN 55122,,Estimated $103K - $131K a year,Contract,Ecolab Company has an opening for a Data Engineer in the Research  Development & Engineering (RD&E) group supporting the Enterprise Technology and Platforms team located in Eagan  MN. If you are a passionate professional seeking an opportunity to pursue unique projects in a small team enabling a large organization through technology  we invite you to apply. Come help us solidify a foundation for the data analytics and data science culture we need to succeed in the future and take your career to the next level.    As a part of the Corporate RDE group you will be responsible for supporting data platforms empowering faster decision making in the RD&E community. You will lead efforts to improve existing operational data systems architecture for RD&E and work with stakeholders in RD&E and Supply Chain. You will also help transition the existing architecture to a modern platform and lay the groundwork for future digital projects enabling RDE. The successful candidate will take the time to understand the existing framework and help rebuild it to a higher technical standard in line with the company’s technology strategy.  Candidates must display a passion for systems  data  operational reporting & advanced analytics. The strong performer can expect further career advancement opportunities with Ecolab and will have the chance to move into other roles within the organization  with increasing leadership opportunities. This is an exciting opportunity to advance your career with a stable growing company!       A trusted partner at nearly three million commercial customer locations  Ecolab (ECL) is the global leader in water  hygiene and infection prevention solutions and services. With annual sales of $13 billion and more than 47 000 associates  Ecolab delivers comprehensive solutions  data-driven insights  and personalized service to advance food safety  maintain clean and safe environments  optimize water and energy use  and improve operational efficiencies and sustainability for customers in the food  healthcare  hospitality  and industrial markets in more than 170 countries around the world. When you come to work at Ecolab  you get to take on some of the world’s most meaningful challenges and have the opportunity to learn and grow  shape your career  make an impact and quickly see the importance of your work. For more Ecolab news and information  visit www.ecolab.com. Follow us on Twitter @ecolab  Facebook at facebook.com/ecolab  LinkedIn at Ecolab or Instagram at Ecolab Inc Ecolab strives to provide comprehensive and market-competitive benefits to meet the needs of our associates and their families. Click here to see our benefits. At Ecolab  we believe the best teams are diverse and inclusive  and we are on a journey to create a workplace where every associate can grow and achieve their best. We are committed to fair and equal treatment of associates and applicants. We recruit  hire  promote  transfer and provide opportunities for advancement on the basis of individual qualifications and job performance. In all matters affecting employment  compensation  benefits  working conditions  and opportunities for advancement  we will not discriminate against any associate or applicant for employment because of race  religion  color  creed  national origin  citizenship status  sex  sexual orientation  gender identity and expressions  genetic information  marital status  age  disability  or status as a covered veteran. In addition  we are committed to furthering the principles of Equal Employment Opportunity (EEO) through Affirmative Action (AA). Our goal is to fully utilize minority  female  disabled and covered veteran individuals at all levels of the workforce. Ecolab is a place where you can grow your career  own your future and impact what matters. We will consider for employment all qualified applicants  including those with criminal histories  in a manner consistent with the requirements of applicable state and local laws  including the City of Los Angeles’ Fair Chance Initiative for Hiring Ordinance and the San Francisco Fair Chance Ordinance.
Data Engineer,https://indeed.com/viewjob?jk=ceca86f672494bc5,7/25/2023,Senior Data Engineer (SAS),Blue Cross Blue Shield of Massachusetts,Boston  MA 02199,Remote,$124 920 - $152 680 a year,Full-time,Ready to help us transform healthcare? Bring your true colors to blue.  What we need  Come join this great opportunity as a Senior Data Engineer role to help in transforming the healthcare reporting. We are looking for a data engineer who can work in fast paced technology transforming company and quickly adopt to the changing technical world. This position reports to the Lead Engineer within the Provider Financial Management technology team.  This role will work in collaboration with the business partners of provider settlement team in supporting the AQC provider groups. This role will focus on data analytics and report development to meet business requirements. A successful candidate has experience building healthcare measures  efficiently retrieving data from a data lake  build and troubleshoot data pipelines  and developing automates data set processes. The candidate will act as a subject matter expert in implementing the best practices of coding in implementing the projects. The candidate should have ability to adopt to the emerging technology in the company.  The candidate should have good understanding of the healthcare data to design and build data solutions using data engineering techniques to provide unparalleled experience to our consumers. The candidate should be passionate to continuously collaborate with other teams like: business analysts  data analytics  data scientists  data engineers  as well as  offshore and onshore development teams to provide optimal analytical insights and reporting frameworks.  Your Day to Day Design & implement big data ingestion & transformation pipelines in order to publish data for consumption. Develop & champion best practices for large scale information extraction from structured/semi-structured data sources. Understand data sources in-depth; design & implement data extraction & processing pipelines that work around imperfections of data to improve data quality & coverage. Deliver high-quality  scalable code with automated test coverage Help grow & mentor team members on the fine art of data engineering & software abstractions Nurture an echo system that promotes learning  growing & mentoring. Have the passion to stay on top of current trends  experiment with & learn new technologies  contribute to internal & engage with external technology communities & thus prepare other members of the engineering community for success.    Bachelors degree in Computer Science  Applied Mathematics  Statistics  Data Science or other related / relevant field 4 or more years data engineering and/or software engineering experience Minimum of 4 years of experience in creating reports using SAS  SQL languages. Experience working in building NCQA/HEDIS quality measures to measure quality performance rates. Ability to develop highly scalable cloud based data platforms 3 years of hands on experience with big data technologies & event driven architecture Hands on data modeling / data architecture experience  It is our mission at Blue Cross Blue Shield of Massachusetts to foster a culture that enables associates to do their best work while living happy and healthy lives. That's why we offer you a variety of ways to support your best physical  emotional  financial  and social well-being. For more information on our benefit offerings  visit https://careers.bluecrossma.org/us/en/benefits  #LI-Remote   High school degree or equivalent required unless otherwise noted above  Location Boston Time Type Full time   $124 920.00 - $152 680.00  The job posting range is the lowest to highest salary we in good faith believe we would pay for this role at the time of this posting. We may ultimately pay more or less than the posted range  and the range may be modified in the future. An employee’s pay position within the salary range will be based on several factors including  but limited to  relevant education  qualifications  certifications  experience  skills  performance  shift  travel requirements  sales or revenue-based metrics  and business or organizational needs and affordability.  This job is also eligible for variable pay.  We offer comprehensive package of benefits including paid time off  medical/dental/vision insurance  401(k)  and a suite of well-being benefits to eligible employees.   No amount of pay is considered to be wages or compensation until such amount is earned  vested  and determinable. The amount and availability of any bonus  commission  or any other form of compensation that are allocable to a particular employee remains in the Company's sole discretion unless and until paid and may be modified at the Company’s sole discretion  consistent with the law.  WHY Blue Cross Blue Shield of MA? We understand that the confidence gap and imposter syndrome can prevent amazing candidates coming our way  so please don’t hesitate to apply. We’d love to hear from you. You might be just what we need for this role or possibly another one at Blue Cross Blue Shield of MA. The more voices we have represented and amplified in our business  the more we will all thrive  contribute  and be brilliant. We encourage you to bring us your true colors    your perspectives  and your experiences. It’s in our differences that we will remain relentless in our pursuit to transform healthcare for ALL.  As an employer  we are committed to investing in your development and providing the necessary resources to enable your success. Learn how we are dedicated to creating an inclusive and rewarding workplace that promotes excellence and provides opportunities for employees to forge their unique career path by visiting our Company Culture page. If this sounds like something you’d like to be a part of  we’d love to hear from you. You can also join our Talent Community to stay “in the know” on all things Blue.  At Blue Cross Blue Shield of Massachusetts  we believe in wellness and that work/life balance is a key part of associate wellbeing. We provide a flexible hybrid work model in which roles are designated as resident (on site 4-5 days/week)  mobile (on site 1-3 days/week)  or eworker (on site 0-3 days/month).
